25,Team Hairmetal       ,118,          28,Hometown Hooligans  ,122
18,Team woods          ,72,          20,OMONOIA LAOS        ,113
7,Yanni Will Reap Your Soul...,       109,          14,Team Momma          ,137
19,Blue Monster         ,124,          16,Da Blittz           ,109
21,Los Engendros       ,92,          22,Red Barons         ,75
3,Gatorade Shower      ,155,           4,TimeTo CatchUp      ,115
31,Mitsurugis Revenge  ,94,          34,Team Wolverines!!!  ,102
9,Team CatNap34        ,143,          13,JackBauer Lover     ,119
11,Spams Dad is my hero,97,           8,Screw You Guys Im Goin Home,       148
26,OV Claunquistadors  ,90,          27,Team bubblesconky   ,104
6,Hometown Hooligans   ,128,2,Portland PedoBear   ,115
23,Dugan Destroyers     ,108,          24,Team Mulloy         ,106
12,LA Skinjobbers         ,162.5,1,Raptor Rapture      ,191
5,Team bubblesconky   ,93,          10,ImThe JuggernautBitch, 120
15,Team HPD             ,106,          17,JS ChopLiver       ,97
29,Cat-Town Carnivores  ,142,          30,Team CatNap34       ,115
32,Team Maki           ,96,          33,LA Skinjobbers      ,118
25,Team Hair Metal      ,153,          23,GameGame Gasolina   ,133
34,Team wolverines!!!   ,109,          33,LA Skinjobbers      ,134
28,Hometown Hooligans   ,104,          27,Team bubblesconky   ,119
30,Team CatNap34       ,87,          32,Team Maki           ,112
24,Team mulloy         ,82,          26,OV Claunquistadors  ,105
31,Mitsurugis Revenge   ,121,          29,Cat-Town Carnivores ,122
34,Spams Mom            ,102,          30,Team CatNap34       ,115
23,Claunsolo Oskis      ,145,          26,Epic Saxxies        ,124
28,Hometown Hooligans   ,120,          24,Team mulloy         ,111
29,Cat-Town Carnivores  ,110,          32,Team Maki           ,104
33,LA Skinjobbers       ,142,          31,Mitsurugis Revenge  ,121
27,Team bubblesconky    ,158,          25,Team Hair Metal     ,162
25,Team Hair Metal      ,121,          24,Dante Bichette     ,84
27,Team bubblesconky    ,153,          23,Vicks BrokenRibs    ,122
31,Kenny Powers         ,143,          30,Team CatNap34       ,133
32,Team Maki           ,99,          34,Spams Mom          ,94
26,Epic Saxxies        ,98,          28,Hometown Hooligans  ,104
33,LA Skinjobbers       ,130,          29,Cat-Town Carnivores ,100
30,Team CatNap34         ,96.5,          33,LA Skinjobbers        ,138.5
25,Team Hair Metal     ,53,          26,GoodBase OfDicks    ,103
24,Dante Bichette       ,110,          27,Team bubblesconky   ,181
31,Kenny Powers         ,152,          32,Team Maki           ,106
29,Cat-Town Carnivores ,91,          34,Spams Mom             ,185.5
23,Mohammed Jihad       ,146,          28,Hometown Hooligans   ,92.5
29,Cat-Town Carnivores  ,129,          23,CDO Blur            ,140
30,Team CatNap34        ,144,          24,Dante Bichette      ,114
31,WHITE BarackObama    ,120,          25,Team Hair Metal     ,117
34,Spams Mom           ,99,          28,Hometown Hooligans  ,120
33,LA Skinjobbers       ,121,          27,Team bubblesconky   ,104
32,Team Maki            ,110,          26,RapeVan Candy      ,98
28,Hometown Hooligans   ,113,          33,LA Skinjobbers        ,142.5
23,JackBauers Posse     ,113,          34,JackBauer Lover     ,105
26,HeyGuys TimeToRageSell, 134,          31,Bens Biatch         ,166
25,Team Hair Metal     ,89,          30,Team CatNap34       ,138
27,Team bubblesconky    ,129,          32,Team Maki          ,94
24,Dante Bichette       ,150,          29,Cat-Town Carnivores ,118
32,Team Maki           ,99,          28,Hometown Hooligans ,98
34,Spams Mom           ,90,          24,White Power         ,117
29,Cat-Town Carnivores ,85,          25,Team Hair Metal    ,69
33,LA Skinjobbers       ,106,          23,JackBauers Posse    ,122
30,Team CatNap34       ,81,          26,SoonToBe SadCat     ,139
31,5PlayersOn ByeWeek   ,120,          27,Team bubblesconky   ,136
26,Coins Anyone?        ,137,          29,Cat-Town Carnivores,74
24,Dante Bichette       ,140,          33,LA Skinjobbers     ,81
25,Team Hair Metal      ,114,          34,Spams Mom          ,98
27,Team bubblesconky    ,144,          30,Team CatNap34       ,149
28,Hometown Hooligans  ,52,          31,ImThe JuggernautBitch, 139
23,CDO Blur             ,118,          32,Team Maki           ,101
33,LA Skinjobbers       ,113,          25,Team Hair Metal     ,133
29,Cat-Town Carnivores  ,144,          27,Team bubblesconky  ,86
30,Team CatNap34        ,141,          28,Hometown Hooligans  ,122
31,ImThe JuggernautBitch,128,          23,The Snowman         ,166
32,DUGANS REVENGE       ,161,          24,Dante Bichette      ,103
34,JackBauer Haterz     ,151,          26,Boo PiratesAreLame  ,109
28,Hometown Hooligans   ,141,          29,Screw You Guys Im Goin Home,       167
27,Team bubblesconky    ,145,          34,JackBauer Lover     ,137
23,Lawn Mower           ,125,          30,Team CatNap34       ,115
26,GameOverMan GameOver ,178,          33,LA Skinjobbers      ,131
24,White Power          ,145,          31,ImThe JuggernautBitch, 139
25,Team Hair Metal      ,123,          32,DUGANS REVENGE     ,95
24,White Power         ,84,          30,Team CatNap34       ,150
23,SheLies - HatesJackBauer,   110,          29,Cat-Town Carnivores ,137
26,Yeah IGotNothing     ,139,          32,DUGANS REVENGE     ,99
28,Hometown Hooligans   ,104,          34,JackBauer Lover     ,117
27,Team bubblesconky    ,129,          33,LA Skinjobbers        ,136.5
25,Team Hair Metal      ,124,          31,ImThe JuggernautBitch, 154
34,JackBauer Lover     ,80,          23,Coffee Time         ,127
31,ImThe JuggernautBitch,149,          26,GameOverMan GameOver,114
30,Team CatNap34       ,89,          25,Team Hair Metal     ,139
33,LA Skinjobbers       ,116,          28,Hometown Hooligans    ,107.5
32,DUGANS REVENGE       ,137,          27,Team bubblesconky   ,112
29,Brown Pride         ,86,          24,White Power        ,99
29,Screw You Guys Im Goin Home,      174,          25,Team Hair Metal     ,215
28,Hometown Hooligans   ,279,          34,JackBauer Lover     ,291
30,Team CatNap34        ,203,          26,GameOverMan GameOver,238
24,White Power          ,232,          32,DUGANS REVENGE      ,238
27,Team bubblesconky    ,218,          23,Lawn Mower            ,307.5
31,ImThe JuggernautBitch,231,          33,LA Skinjobbers      ,267
34,JackBauer Lover     ,92,          30,Team CatNap34       ,133
26,GameOverMan GameOver ,152,          25,Team Hair Metal     ,112
32,DUGANS REVENGE       ,144,          29,Screw You Guys Im Goin Home,        68
33,LA Skinjobbers       ,115,          23,Lawn Mower          ,116
28,Hometown Hooligans  ,86,          24,White Power         ,137
27,Team bubblesconky   ,81,          31,ImThe JuggernautBitch, 180
